,country,city,topics,category,members,rating,geo
0,GB,London,"['Small Business', 'Work At Home', 'Freelance', 'Social', 'Coworking', 'MasterMinds', 'Professional Networking', 'Freelancers in London', 'Entrepreneurship', 'Startup Businesses', 'Networking For the Self Employed', 'Creative Freelancers', 'Independent Consultant', 'Self Employed Professionals']",tech,580,4.77,"(51.5073219, -0.1276473)"
1,GB,Cambridge,"['Freelance', 'Coworking', 'Professional Networking', 'Startup Businesses', 'Business in Cambridge UK', 'Coworkers', 'Successful Entrepreneurs', 'Business Strategy and Coworking', 'coworking space']",career/business,459,4.87,"(51.5073219, -0.1276473)"
2,GB,Maidstone,"['Professional Development', 'Freelance', 'Coworking', 'Professional Networking', 'Home-Based Business', 'Entrepreneurship', 'Entrepreneur Networking', 'Small Business Networking', 'Small Business Owners', 'Startup Businesses', 'Micro Business Owners']",career/business,98,4.91,"(51.5073219, -0.1276473)"
3,GB,Reading,"['Innovation', 'Software Development', 'New Technology', 'Freelance', 'Web Technology', 'Technology', 'Coworking', 'Entrepreneurship', 'Entrepreneur Networking', 'Startup Businesses', 'Technology Professionals', 'Creative Freelancers', 'Lean Startup', 'Technology Startups', 'Growth Hacking']",career/business,396,4.74,"(51.5073219, -0.1276473)"
4,GB,London,"['Freelance', 'Drupal', 'Coworking', 'Entrepreneurship', 'Learning Drupal', 'Coworkers', 'Drupal 7', 'Drupal Users', 'Drupal Developers', 'Drupal Modules', 'Drupal Content Administrators', 'Drupal community']",tech,44,4.8,"(51.5073219, -0.1276473)"
5,GB,London,"['Self-Improvement', 'Professional Development', 'Coworking', 'Leadership', 'Professional Networking', 'Personal Development', 'Startup Businesses', 'Inspirational Speakers']",career/business,36,0,"(51.5073219, -0.1276473)"
6,GB,London,"['Innovation', 'Coworking', 'Entrepreneurship', 'Community, Cooperation, Collaboration', 'Collaboration', 'Startup Businesses', 'Collaboration between Creative Minds', 'Knowledge Sharing', 'Collaboration and Resource Sharing', 'Technology Startups', 'Collaborative Consumption']",career/business,41,0,"(51.5073219, -0.1276473)"
7,GB,Cambridge,"['Professional Development', 'Freelance', 'Coworking', 'Professional Networking', 'Entrepreneurship', 'Entrepreneur Networking', 'Small Business Owners', 'Collaboration between Creative Minds', 'Jellies', 'Coworkers', 'start-ups', 'Business Strategy and Coworking']",career/business,181,4.93,"(51.5073219, -0.1276473)"
8,GB,Wembley,"['Business', 'Coworking', 'Professional Networking', 'Entrepreneurship', 'Small Business Owners', 'Startup Businesses', 'B2B Networking', 'Coworkers']",career/business,3,0,"(51.5073219, -0.1276473)"
9,GB,London,"['Small Business', 'Social Networking', 'Business Coaching', 'Coworking', 'Women Entrepreneurs', 'Professional Networking', 'Sustainability', 'Leadership Development', 'Small Business Owners', 'Communication Skills', 'Startup Businesses', 'Organizational Constellations', 'Collaborative', 'Sustainable Social and Economic Development', 'Executive Coaching', 'New Economy']",health/wellbeing,160,5,"(51.5073219, -0.1276473)"
10,GB,Bromley,"['Small Business', 'Work At Home', 'Web Design', 'Freelance', 'Internet Professionals', 'Coworking', 'Conversation', 'Web Development', 'Professional Networking', 'Coffee and Tea Socials', 'Home-Based Business', 'Collaboration between Creative Minds', 'Local Business', 'WordPress Small Business Web Sites']",career/business,250,4.92,"(51.5073219, -0.1276473)"
11,GB,London,"['Professional Development', 'Freelance', 'Drupal', 'Coworking', 'Web Development', 'London', 'Entrepreneurship', 'Drupal Security', 'Drupal Theming', 'Drupal Mastering', 'Drupal Users', 'Drupal Developers', 'Drupal Modules', 'Drupal themers', 'Drupal Designers']",career/business,111,4.82,"(51.5073219, -0.1276473)"
12,GB,London,"['Accounting', 'Small Business', 'Accounting Software', 'Freelance', 'Coworking', 'Contractors', 'Freelancers in London', 'Entrepreneurship', 'Startup Businesses', 'Contractor', 'Creative Freelancers', 'Small Business Accounting', 'Virtual Freelancers', 'Freelancer Networking']",career/business,361,4.67,"(51.5073219, -0.1276473)"
13,GB,Reading,"['Software Development', 'Freelance', 'Coworking', 'Web Development', 'Mobile Technology', 'Entrepreneurship', 'Entrepreneur Networking', 'Startup Businesses', 'Creative Freelancers', 'SaaS (Software as a Service)', 'Technology Startups', 'Internet Startups', 'Co-working Space', 'Freelancer Networking']",tech,155,5,"(51.5073219, -0.1276473)"
14,GB,Norwich,"['Small Business', 'Innovation', 'Social Networking', 'Freelance', 'Coworking', 'Professional Networking', 'Entrepreneurship', 'Entrepreneur Networking', 'Co-Creation', 'Startup Businesses', 'Creative Freelancers', 'Creativity', 'Creative Industries']",career/business,70,5,"(51.5073219, -0.1276473)"
15,GB,Bournemouth,"['Small Business', 'Work At Home', 'Freelance', 'Coworking', 'Entrepreneurship', 'Jelly', 'Coworkers', 'Co-working Space']",career/business,83,5,"(51.5073219, -0.1276473)"
16,GB,London,"['Small Business', 'Work At Home', 'Freelance', 'Coworking', 'Entrepreneurship', 'Small Business Networking', 'Creative Freelancers', 'Collaboration between Creative Minds', 'Small and Home-Based Business Networking', 'Co-working Space', 'Freelancer Networking']",career/business,402,4.86,"(51.5073219, -0.1276473)"
17,GB,London,"['Social Networking', 'Freelance', 'Coworking', 'Professional Networking', 'Freelancers in London', 'Jobs', 'Startup Businesses', 'Creative Freelancers', 'Remote Workers', 'Technology Startups', 'Freelancer Networking']",career/business,103,0,"(51.5073219, -0.1276473)"
18,GB,Bromsgrove,"['Freelance', 'Coworking', 'Entrepreneurship', 'Co Working', 'Startup Businesses', 'Business Strategy and Coworking']",career/business,88,5,"(51.5073219, -0.1276473)"
19,GB,Oxford,"['Work At Home', 'Web Design', 'Freelance', 'Internet Professionals', 'Creative Circle', 'Coworking', 'Creative Writing', 'Web Development', 'Artists', 'Writing', 'Creative Freelancers', 'Collaboration between Creative Minds', 'Creativity', 'Co-working Space']",fine arts/culture,285,5,"(51.5073219, -0.1276473)"
